txn_id,scenario_id,date,account_id,counterparty,description,amount,currency,amount_usd,recovered,fx_rate,evidence,problems
TXN-P7-0009,P7,2025-02-03,ACC-7807,Juniper Building Services Partners (Kyzylorda station),Interest on escrow balance — period 03 2025,10314274.31,USD,10314274.31,0,,,
TXN-P6-0009,P6,2025-02-04,ACC-7806,Cascade Water Utility Works (Pavlodar block),Fidelity bond insurance — Karaganda yard,-667823.42,USD,-667823.42,0,,,
TXN-P3-0032,P3,2025-02-05,ACC-7803,Eastgate Courier Partners (Atyrau terminal),Storage unit rent — Atyrau terminal 2025,-2846486.78,USD,-2846486.78,0,,,
TXN-P10-0030,P10,2025-02-06,ACC-7810,Hartley Supply Works,Overdraft interest — July 2025,-1587631.97,USD,-1587631.97,0,,,
TXN-P10-0060,P10,2025-02-06,ACC-7810,Summit Telecom Group (Kostanay centre),Interest income on treasury bills — period 04 2025,625992.1,USD,625992.1,0,,,
TXN-P8-0005,P8,2025-02-06,ACC-7808,Kyzylorda Drilling Personnel LLP,Field crew payroll disbursement 2025,-2418663.27,USD,-2418663.27,0,,,
TXN-P3-0040,P3,2025-02-07,ACC-7803,Eastgate Courier Partners Enterprise,"Payroll top-up transfer — Shymkent depot, October",-366905.32,USD,-366905.32,0,,,
TXN-P10-0023,P10,2025-02-08,ACC-7810,Bridgeport Waste Systems Ltd (Oskemen unit),"Marketing translation and localisation — Astana branch, Q4",-268827.27,USD,-268827.27,0,,,
TXN-P4-0030,P4,2025-02-08,ACC-7804,Bridgeport Utility Co,"Land tax instalment — Almaty office, H1 2025",-258858.22,USD,-258858.22,0,,,
TXN-P6-0013,P6,2025-02-08,ACC-7806,Glenwood Waste Systems Trust (Kyzylorda station),Motor third-party insurance — Q4,-373627.82,USD,-373627.82,0,,,
TXN-P6-0052,P6,2025-02-08,ACC-7806,Hartley Maintenance Partners,"Rent for archive premises — Karaganda yard, June",-6295425.94,USD,-6295425.94,0,,,
TXN-P9-0022,P9,2025-02-09,ACC-7809,Bridgeport Realty Inc Group (Karaganda yard),Business interruption insurance — instalment 3,-7594649.55,USD,-7594649.55,0,,,
TXN-P5-0046,P5,2025-02-10,ACC-7805,Ashford Tax Advisory Holdings Company,Vehicle livery marketing application — Taraz site 2025,-9119061.31,USD,-9119061.31,0,,,
TXN-P2-0030,P2,2025-02-11,ACC-7802,Dunmore Uniforms Holdings,Office rent — period 02,-1054367.22,USD,-1054367.22,0,,,
TXN-P4-0039,P4,2025-02-11,ACC-7804,Glenwood Water Works LLC (Atyrau terminal),Interest on escrow balance 2025,2013671.07,USD,2013671.07,0,,,
TXN-P5-0016,P5,2025-02-11,ACC-7805,Ural Turbine Works LLP,Purchase of switchyard equipment,-1703882.44,USD,-1703882.44,0,,,
TXN-P6-0023,P6,2025-02-11,ACC-7806,Foxridge Insurance Co (Zhezkazgan compound),"Customs duty and tax payment — Atyrau terminal, September",-4274468.38,USD,-4274468.38,0,,,
TXN-P10-0053,P10,2025-02-12,ACC-7810,Juniper Landscaping LLC (Zhezkazgan compound),Overdraft interest — December 2025,-2801359.37,USD,-2801359.37,0,,,
TXN-P2-0008,P2,2025-02-12,ACC-7802,Bridgeport Tax Advisory Services Supply,Customer newsletter marketing production — Zhezkazgan compound 2025,-302754.71,EUR,-351195.46,0,1.16,,
TXN-B1-0042,B1,2025-02-13,ACC-7201,Kingsley Power Holdings,Industry exhibition stand marketing — period 03 2025,-221738.1,USD,-221738.1,0,,,
TXN-P5-0051,P5,2025-02-14,ACC-7805,Eastgate Facilities Trust (Taraz site),Interest on subordinated notes — Semey base,-1072861.8,USD,-1072861.8,0,,,
TXN-P6-0036,P6,2025-02-14,ACC-7806,Hartley Printing Co,Vehicle tax payment — November,-1119866.56,USD,-1119866.56,0,,,
TXN-P9-0021,P9,2025-02-14,ACC-7809,Bridgeport Uniforms Trust Works,"Rent for spare parts store — Ekibastuz block B, May",-673095.49,USD,-673095.49,0,,,
TXN-B1-0031,B1,2025-02-15,ACC-7201,Juniper Payroll Associates (Shymkent depot),Social tax remittance — Pavlodar block,-1463827.85,USD,-1463827.85,0,,,
TXN-P8-0024,P8,2025-02-15,ACC-7808,Granger Utilities Holding,District heating utility charge 2025,-5908411.58,USD,-5908411.58,0,,,
TXN-P10-0013,P10,2025-02-16,ACC-7810,Ironwood Stationery Solutions JSC (Kyzylorda station),Corporate brand marketing programme — Turkistan point 2025,-3277880.53,USD,-3277880.53,0,,,
TXN-P2-0037,P2,2025-02-16,ACC-7802,Trident Power Cooperative (Taraz site),"VAT refund received — Turkistan point, April",5814535.19,USD,5814535.19,0,,,
TXN-P3-0007,P3,2025-02-16,ACC-7803,Eastgate Utility LLC (Semey base),Warehouse contents insurance — Atyrau terminal 2025,-3024115.38,USD,-3024115.38,0,,,
TXN-P10-0011,P10,2025-02-17,ACC-7810,Eurasia Insurance Company JSC,Property insurance premium 2025,-248663.19,USD,-248663.19,0,,,
TXN-P7-0024,P7,2025-02-17,ACC-7807,Kingsley Power Holdings (Pavlodar block),Unused ad campaign budget returned — instalment 1,7470397.9,USD,7470397.9,0,,,
TXN-P9-0039,P9,2025-02-17,ACC-7809,Eastgate Stationery LLC (Karaganda yard),Capitalised interest charge — Q4 2025,-437402.03,USD,-437402.03,0,,,
TXN-P9-0049,P9,2025-02-17,ACC-7809,Foxridge Maintenance Holdings (Atyrau terminal),"Parking garage lease — Turkistan point, April 2025",-4128626.07,USD,-4128626.07,0,,,
TXN-P1-0041,P1,2025-02-18,ACC-7801,Hartley Catering LP (Kostanay centre),"Electricity network capacity charge — Uralsk annex, instalment 3",-315103.3,USD,-315103.3,0,,,
TXN-B1-0022,B1,2025-02-19,ACC-7201,Foxridge Facilities Solutions,"Unused ad campaign budget returned — Astana branch, April 2025",832732.8,USD,832732.8,0,,,
TXN-P2-0028,P2,2025-02-19,ACC-7802,Development Bank of Kazakhstan JSC,Term loan facility drawdown for cold store expansion,4882117.46,USD,4882117.46,0,,,
TXN-P4-0034,P4,2025-02-19,ACC-7804,Ironwood Office Supplies Group,"Rent for spare parts store — Oskemen unit, H2 2025",-507883.52,USD,-507883.52,0,,,
TXN-P5-0019,P5,2025-02-19,ACC-7805,Hartley Courier Corp,Payroll top-up transfer — Pavlodar block,-377075.55,USD,-377075.55,0,,,
TXN-P6-0053,P6,2025-02-19,ACC-7806,Crown City Water Board (Astana branch),"Retail unit rent — Zhezkazgan compound, January",-6391398.14,USD,-6391398.14,0,,,
TXN-P8-0002,P8,2025-02-19,ACC-7808,Ashford Utility Corp (Aktobe hub),Advance profit tax instalment — Kyzylorda station,-472953.75,USD,-472953.75,0,,,
TXN-B1-0002,B1,2025-02-20,ACC-7201,Initech Software Licenses,Rent deposit returned 2025,7123935.64,USD,7123935.64,0,,,
TXN-P6-0027,P6,2025-02-20,ACC-7806,Glenwood Catering Group (Semey base),Antenna mast lease — January,-7193523.88,USD,-7193523.88,0,,,
TXN-P9-0031,P9,2025-02-20,ACC-7809,Glenwood Janitorial LP,"Depot yard rent — Uralsk annex, July 2025",-7227726.32,USD,-7227726.32,0,,,
TXN-P5-0003,P5,2025-02-22,ACC-7805,Ironwood Printing Ltd,Sponsorship marketing of regional sports club — Astana branch,-3604100.77,USD,-3604100.77,0,,,
TXN-P9-0016,P9,2025-02-22,ACC-7809,Bridgeport Insurance Partners Works,Water supply charge — Semey base 2025,-1187685.09,USD,-1187685.09,0,,,
TXN-P5-0043,P5,2025-02-24,ACC-7805,Glenwood Insurance Ltd Ltd,"Payroll for drivers — Karaganda yard, Q2",-10114207.63,USD,-10114207.63,0,,,
TXN-P6-0022,P6,2025-02-24,ACC-7806,Ural Grinding Works LLP,Purchase of clinker grinding equipment,-1482663.28,USD,-1482663.28,0,,,
TXN-B1-0011,B1,2025-02-25,ACC-7201,Cedarville Leasing (Kostanay centre),Rent overpayment refunded — Kostanay centre 2025,1888842.15,USD,1888842.15,0,,,
TXN-P10-0037,P10,2025-02-25,ACC-7810,Juniper Property Services Group,Customer newsletter marketing production — period 01,-301167.04,USD,-301167.04,0,,,
TXN-P2-0056,P2,2025-02-25,ACC-7802,Cedarville Waste Systems Inc (Atyrau terminal),"Media buy rate adjustment credit — Kyzylorda station, November",485636.32,USD,485636.32,0,,,
TXN-P7-0025,P7,2025-02-26,ACC-7807,Juniper Payroll Associates,Unclaimed payroll returned — Astana branch 2025,647074.31,USD,647074.31,0,,,
TXN-P1-0025,P1,2025-02-27,ACC-7801,Harborview Properties (Turkistan point),Sponsorship marketing of regional sports club 2025,-214382.05,USD,-214382.05,0,,,
TXN-P1-0050,P1,2025-02-27,ACC-7801,Bridgeport Water Works LP,Payroll for night shift — Q1,-10611759.48,USD,-10611759.48,0,,,
TXN-B1-0006,B1,2025-02-28,ACC-7201,Eastgate Cleaning Corp Enterprise,"Point-of-sale marketing materials — Semey base, June",-2819887.45,USD,-2819887.45,0,,,
TXN-B1-0040,B1,2025-02-28,ACC-7201,Ironwood Supply Associates (Turkistan point),Rent for regional office — instalment 1 2025,-274731.84,USD,-274731.84,0,,,
TXN-B4-0004,B4,2025-03-01,ACC-7204,Bridgeport Uniforms Trust (Kostanay centre),"Sponsorship marketing of regional sports club — Kyzylorda station, instalment 1 2025",-6446696.54,USD,-6446696.54,0,,,
TXN-B4-0022,B4,2025-03-01,ACC-7204,Vanguard Payroll Co (Pavlodar block),Electricity for site lighting — Q3,-7223836.57,USD,-7223836.57,0,,,
TXN-B4-0029,B4,2025-03-01,ACC-7204,Dunmore Waste Systems LLC Works (Zhezkazgan compound),Rent deposit returned — Almaty office 2025,177288.48,USD,177288.48,0,,,
TXN-B4-0036,B4,2025-03-01,ACC-7204,Hartley Courier Corp Ltd,Environmental liability insurance — period 02,-8526280.28,USD,-8526280.28,0,,,
TXN-B4-0057,B4,2025-03-01,ACC-7204,Juniper Office Supplies LP (Semey base),"Utility metering charge — Oskemen unit, August",-400286.74,USD,-400286.74,0,,,
TXN-P8-0050,P8,2025-03-02,ACC-7808,Bridgeport Facilities LLC (Kostanay centre),"Default interest charge — Oskemen unit, Q1",-6295087.15,USD,-6295087.15,0,,,
TXN-B1-0021,B1,2025-03-03,ACC-7201,Eastgate Office Supplies Solutions (Uralsk annex),"Digital media buy — display — Shymkent depot, Q2 2025",-1292105.71,USD,-1292105.71,0,,,
TXN-B1-0041,B1,2025-03-03,ACC-7201,Ironwood Realty Services (Karaganda yard),Workers comp insurance — Shymkent depot 2025,-544568.74,USD,-544568.74,0,,,
TXN-P1-0052,P1,2025-03-03,ACC-7801,Bridgeport Courier Solutions (Astana branch),"Digital media buy — search — Karaganda yard, instalment 3 2025",-379368.05,USD,-379368.05,0,,,
TXN-B1-0036,B1,2025-03-04,ACC-7201,Glenwood Consulting Inc,Excise tax credit received — period 02 2025,275823.54,USD,275823.54,0,,,
TXN-P4-0036,P4,2025-03-04,ACC-7804,Dunmore Janitorial Services Service Centre,Interest on subordinated notes — May,-476301.74,USD,-476301.74,0,,,
TXN-P6-0003,P6,2025-03-04,ACC-7806,Hartley Power Associates,"Franchise tax filing — Shymkent depot, H2 2025",-495164.18,USD,-495164.18,0,,,
TXN-P7-0028,P7,2025-03-04,ACC-7807,Eastgate Facilities Trust Ltd,Credit facility interest — Kostanay centre 2025,-515506.87,USD,-515506.87,0,,,
TXN-P1-0014,P1,2025-03-05,ACC-7801,Aktau Terminal Properties LLP,Terminal land lease payments 2025,-918443.27,USD,-918443.27,0,,,
TXN-P7-0034,P7,2025-03-05,ACC-7807,Juniper Cleaning (Taraz site),Payroll for security detail — February,-275069.81,USD,-275069.81,0,,,
TXN-P2-0021,P2,2025-03-06,ACC-7802,Ironwood Stationery Solutions (Uralsk annex),Parking garage lease — Kostanay centre 2025,-11913971.27,USD,-11913971.27,0,,,
TXN-P4-0007,P4,2025-03-06,ACC-7804,Ashford Property Co (Almaty office),"Excise tax credit received — Uralsk annex, Q1",2325457.12,USD,2325457.12,0,,,
TXN-P6-0004,P6,2025-03-06,ACC-7806,Taraz Cement Personnel LLP,Plant crew payroll disbursement 2025,-1482663.19,USD,-1482663.19,0,,,
TXN-P7-0055,P7,2025-03-06,ACC-7807,Dunmore Courier Services LLP,Political risk insurance — Semey base 2025,-2773434.34,USD,-2773434.34,0,,,
TXN-P3-0051,P3,2025-03-07,ACC-7803,Bridgeport Janitorial Solutions (Aktobe hub),"Bi-weekly payroll run — Kyzylorda station, November 2025",-10938732.68,USD,-10938732.68,0,,,
TXN-P5-0022,P5,2025-03-07,ACC-7805,Statewide Tax Authority (Semey base),Lease deposit released — Uralsk annex,13837909.93,USD,13837909.93,0,,,
TXN-B1-0001,B1,2025-03-08,ACC-7201,Bridgeport Property Ltd Service Centre,Sublet rent received — February,1656712.15,USD,1656712.15,0,,,
TXN-P1-0028,P1,2025-03-08,ACC-7801,Eastgate Utility LLC Group,"Utility deposit returned — Almaty office, period 02",3575522.74,USD,3575522.74,0,,,
TXN-P1-0047,P1,2025-03-08,ACC-7801,Ironwood Stationery Solutions Trading House,"Environmental liability insurance — Uralsk annex, instalment 2 2025",-2697744.03,USD,-2697744.03,0,,,
TXN-P2-0055,P2,2025-03-08,ACC-7802,Bridgeport Office Supplies,Marketing co-operative funding received — June 2025,7382549.74,USD,7382549.74,0,,,
TXN-P3-0035,P3,2025-03-09,ACC-7803,Foxridge Supply Inc Enterprise,"Environmental emissions tax — Uralsk annex, March",-193979.88,USD,-193979.88,0,,,
TXN-P2-0002,P2,2025-03-10,ACC-7802,Bridgeport Security Associates Enterprise,Electricity network capacity charge — November,-421881.82,USD,-421881.82,0,,,
TXN-P8-0038,P8,2025-03-11,ACC-7808,Ironwood Payroll (Almaty office),"Rent deposit returned — Astana branch, January 2025",3505589.65,USD,3505589.65,0,,,
TXN-P10-0021,P10,2025-03-12,ACC-7810,Saryarka Terminal Properties LLP,Warehouse land lease payments 2025,-1204663.28,USD,-1204663.28,0,,,
TXN-P1-0022,P1,2025-03-13,ACC-7801,Juniper Printing Inc Supply (Turkistan point),Municipal tax levy — instalment 2 2025,-593594.68,USD,-593594.68,0,,,
TXN-B1-0017,B1,2025-03-14,ACC-7201,Juniper Power Solutions,Insurance premium refund — Uralsk annex,4465117.37,USD,4465117.37,0,,,
TXN-B4-0011,B4,2025-03-14,ACC-7204,Eastgate Consulting Co (Oskemen unit),Radio ad campaign schedule — Zhezkazgan compound 2025,-103731.12,USD,-103731.12,0,,,
TXN-P1-0038,P1,2025-03-14,ACC-7801,Bridgeport Office Supplies (Uralsk annex),Water charge adjustment credit,7831364.09,USD,7831364.09,0,,,
TXN-P6-0012,P6,2025-03-14,ACC-7806,Kingsley Insurance Associates Holding,"Directors and officers insurance — Kyzylorda station, Q2 2025",-574236.97,USD,-574236.97,0,,,
TXN-P7-0007,P7,2025-03-15,ACC-7807,Lakeshore Insurance Brokers Company,"Workers comp insurance — Atyrau terminal, November",-483665.07,USD,-483665.07,0,,,
TXN-P1-0020,P1,2025-03-17,ACC-7801,Bridgeport Payroll Group (Almaty office),Payroll advance recovered from staff,3066637.42,USD,3066637.42,0,,,
TXN-P3-0002,P3,2025-03-18,ACC-7803,Development Bank of Kazakhstan JSC,Term loan facility drawdown for turnaround works,5442118.93,USD,5442118.93,0,,,
TXN-P7-0048,P7,2025-03-18,ACC-7807,Dunmore Insurance LP,Environmental liability insurance — May,-156386.63,USD,-156386.63,0,,,
TXN-P4-0053,P4,2025-03-19,ACC-7804,Ural Conveyor Works LLP,Purchase of grain conveyor equipment,-1652704.31,USD,-1652704.31,0,,,
TXN-P7-0040,P7,2025-03-19,ACC-7807,Halcyon Facilities Group (Taraz site),Media buy rate adjustment credit — Karaganda yard,1979183.84,USD,1979183.84,0,,,
TXN-B4-0030,B4,2025-03-20,ACC-7204,Shymkent Fuel Distributors LLP,Refinery product sales settlement first quarter,2048994.35,USD,2048994.35,0,,,
TXN-P2-0039,P2,2025-03-20,ACC-7802,Cedarville Courier Holdings Supply,"Rent overpayment refunded — Kyzylorda station, January 2025",803966.93,USD,803966.93,0,,,
TXN-P6-0047,P6,2025-03-20,ACC-7806,Glenwood Catering Group (Turkistan point),Insurance claim reimbursement — Uralsk annex,124433.76,USD,124433.76,0,,,
TXN-P8-0020,P8,2025-03-21,ACC-7808,Foxridge Realty Trust (Shymkent depot),Interest income on term deposit — Shymkent depot 2025,1885336.06,USD,1885336.06,0,,,
TXN-B1-0013,B1,2025-03-22,ACC-7201,Ashford Printing Solutions (Kyzylorda station),"Point-of-sale marketing materials — Atyrau terminal, July 2025",-438406.28,USD,-438406.28,0,,,
TXN-P6-0026,P6,2025-03-22,ACC-7806,Maple Grove Telecom (Zhezkazgan compound),Marketing agency credit note — Q4,303758.54,USD,303758.54,0,,,
TXN-P3-0042,P3,2025-03-23,ACC-7803,Bridgeport Courier Solutions (Kostanay centre),Rent for archive premises — period 01,-1150561.42,USD,-1150561.42,0,,,
TXN-P4-0015,P4,2025-03-24,ACC-7804,Oakmont Property Management,Telecom service credit received — Pavlodar block 2025,1113342.05,USD,1113342.05,0,,,
TXN-P2-0022,P2,2025-03-25,ACC-7802,Dunmore Tax Advisory Group JSC (Karaganda yard),Interest credited on current account — Kostanay centre 2025,2083129.43,USD,2083129.43,0,,,
TXN-P8-0013,P8,2025-03-25,ACC-7808,Bridgeport Uniforms Trust (Kostanay centre),Marketing overbilling refund — period 04,3031930.94,USD,3031930.94,0,,,
TXN-P7-0031,P7,2025-03-27,ACC-7807,Atyrau Pump Station Services LLP,Pump station servicing and operating costs 2025,-6418003.77,USD,-6418003.77,0,,,
TXN-P1-0006,P1,2025-03-28,ACC-7801,Cedarville Utility Ltd,"VAT refund received — Oskemen unit, June 2025",3045764.68,USD,3045764.68,0,,,
TXN-P5-0011,P5,2025-03-28,ACC-7805,Ironwood Office Supplies Group (Kyzylorda station),Electricity network capacity charge — Turkistan point,-2275280.58,USD,-2275280.58,0,,,
TXN-P7-0002,P7,2025-03-31,ACC-7807,Oakmont Property Management (Ekibastuz block B),"Lease incentive received — Taraz site, final call",3450194.7,USD,3450194.7,0,,,
TXN-P10-0059,P10,2025-04-01,ACC-7810,Glenwood Janitorial LP (Oskemen unit),Outdoor marketing site hire — instalment 2 2025,-7141284.38,USD,-7141284.38,0,,,
TXN-P6-0008,P6,2025-04-01,ACC-7806,Juniper Uniforms Co Company,"Lease incentive received — Kostanay centre, March 2025",168948.43,USD,168948.43,0,,,
